word,zipf
magnus,3.4600
mont,3.4600
ovarian,3.4600
shi,3.4600
vertically,3.4600
vigorous,3.4600
wei,3.4600
anc,3.4500
cervical,3.4500
digitally,3.4500
ernie,3.4500
imaginative,3.4500
implicit,3.4500
insensitive,3.4500
lola,3.4500
lucia,3.4500
mistakenly,3.4500
oppressive,3.4500
pearce,3.4500
qualitative,3.4500
recognizable,3.4500
reluctantly,3.4500
scientifically,3.4500
strategically,3.4500
topical,3.4500
wah,3.4500
artificially,3.4400
asa,3.4400
aux,3.4400
dani,3.4400
environmentally,3.4400
federally,3.4400
freddy,3.4400
heidi,3.4400
inadvertently,3.4400
indifferent,3.4400
invariably,3.4400
invincible,3.4400
laurence,3.4400
lowell,3.4400
medically,3.4400
nathaniel,3.4400
preferable,3.4400
preparatory,3.4400
purposely,3.4400
una,3.4400
undocumented,3.4400
vaginal,3.4400
vance,3.4400
ancestral,3.4300
apocalyptic,3.4300
burt,3.4300
contractual,3.4300
correctional,3.4300
couldnt,3.4300
daryl,3.4300
dustin,3.4300
elle,3.4300
elsa,3.4300
expressive,3.4300
gregg,3.4300
haram,3.4300
horrendous,3.4300
illicit,3.4300
len,3.4300
logically,3.4300
miraculous,3.4300
nielsen,3.4300
oswald,3.4300
overboard,3.4300
suzuki,3.4300
vivian,3.4300
vivo,3.4300
betsy,3.4200
blanc,3.4200
cary,3.4200
chung,3.4200
cyril,3.4200
della,3.4200
extraordinarily,3.4200
giovanni,3.4200
hoc,3.4200
julio,3.4200
miscellaneous,3.4200
prehistoric,3.4200
std,3.4200
triangular,3.4200
ubiquitous,3.4200
unbelievably,3.4200
unconventional,3.4200
unnecessarily,3.4200
unnoticed,3.4200
untouched,3.4200
vitro,3.4200
anonymously,3.4100
confidently,3.4100
duffy,3.4100
emmanuel,3.4100
hesitant,3.4100
insightful,3.4100
irrespective,3.4100
jeanne,3.4100
moran,3.4100
olivier,3.4100
populous,3.4100
prob,3.4100
prominently,3.4100
quincy,3.4100
reputable,3.4100
ricardo,3.4100
stacey,3.4100
tremendously,3.4100
unpublished,3.4100
alvin,3.4000
anders,3.4000
authoritative,3.4000
bethlehem,3.4000
bureaucratic,3.4000
chronological,3.4000
darius,3.4000
entrepreneurial,3.4000
extravagant,3.4000
ferris,3.4000
judah,3.4000
kimberly,3.4000
lori,3.4000
marvellous,3.4000
ominous,3.4000
principally,3.4000
smithsonian,3.4000
albion,3.3900
barefoot,3.3900
clinically,3.3900
dea,3.3900
enormously,3.3900
intermittent,3.3900
liv,3.3900
meteorological,3.3900
multicultural,3.3900
negligible,3.3900
obligatory,3.3900
pervasive,3.3900
predatory,3.3900
punitive,3.3900
raphael,3.3900
roi,3.3900
samson,3.3900
skeletal,3.3900
spherical,3.3900
stacy,3.3900
troublesome,3.3900
vigorously,3.3900
whitman,3.3900
biographical,3.3800
blanche,3.3800
comedic,3.3800
det,3.3800
divergent,3.3800
donnie,3.3800
exemplary,3.3800
expansive,3.3800
geez,3.3800
impartial,3.3800
incremental,3.3800
manageable,3.3800
marianne,3.3800
mountainous,3.3800
obnoxious,3.3800
rhetorical,3.3800
royale,3.3800
tanya,3.3800
tomas,3.3800
zac,3.3800
adolf,3.3700
antitrust,3.3700
avg,3.3700
bianca,3.3700
bipartisan,3.3700
bono,3.3700
cheng,3.3700
ching,3.3700
colossal,3.3700
comm,3.3700
decidedly,3.3700
demi,3.3700
francois,3.3700
identifiable,3.3700
immaculate,3.3700
interpersonal,3.3700
interracial,3.3700
jai,3.3700
jarvis,3.3700
johann,3.3700
kan,3.3700
lenny,3.3700
longitudinal,3.3700
microscopic,3.3700
murderous,3.3700
notoriously,3.3700
predictive,3.3700
sao,3.3700
soho,3.3700
undisclosed,3.3700
woken,3.3700
analogous,3.3600
avant,3.3600
benton,3.3600
cheney,3.3600
cher,3.3600
cristina,3.3600
dodd,3.3600
dysfunctional,3.3600
equitable,3.3600
idiotic,3.3600
jacqueline,3.3600
legitimately,3.3600
magically,3.3600
materially,3.3600
noticeably,3.3600
pathological,3.3600
plentiful,3.3600
rahul,3.3600
rebellious,3.3600
satirical,3.3600
unattractive,3.3600
unbeaten,3.3600
affectionate,3.3500
angie,3.3500
berger,3.3500
bois,3.3500
complimentary,3.3500
conspicuous,3.3500
constantine,3.3500
continual,3.3500
dui,3.3500
dwayne,3.3500
exceedingly,3.3500
excessively,3.3500
fps,3.3500
geese,3.3500
geographically,3.3500
grammatical,3.3500
improperly,3.3500
ingenious,3.3500
ist,3.3500
janice,3.3500
lowry,3.3500
mechanically,3.3500
mikey,3.3500
ostensibly,3.3500
psychologically,3.3500
ramon,3.3500
rubin,3.3500
sabrina,3.3500
sha,3.3500
skye,3.3500
unavoidable,3.3500
unilateral,3.3500
vicky,3.3500
vijay,3.3500
webber,3.3500
yun,3.3500
acidic,3.3400
aint,3.3400
appellate,3.3400
bea,3.3400
benevolent,3.3400
bom,3.3400
cheltenham,3.3400
chesapeake,3.3400
chun,3.3400
claudio,3.3400
cullen,3.3400
cylindrical,3.3400
deceptive,3.3400
dia,3.3400
divisive,3.3400
eduardo,3.3400
eileen,3.3400
elon,3.3400
foreseeable,3.3400
garde,3.3400
gon,3.3400
houghton,3.3400
hume,3.3400
ingram,3.3400
insanely,3.3400
intellectually,3.3400
interstellar,3.3400
involuntary,3.3400
lizzie,3.3400
luc,3.3400
ludicrous,3.3400
mazda,3.3400
pancreatic,3.3400
romero,3.3400
shalt,3.3400
socioeconomic,3.3400
spontaneously,3.3400
stockton,3.3400
tyrone,3.3400
unaffected,3.3400
undeniable,3.3400
vigilant,3.3400
werner,3.3400
advantageous,3.3300
aero,3.3300
demonic,3.3300
disgraceful,3.3300
dreamt,3.3300
ethel,3.3300
gras,3.3300
holistic,3.3300
hormonal,3.3300
josephine,3.3300
lim,3.3300
microbial,3.3300
millennial,3.3300
monterey,3.3300
negligent,3.3300
nikon,3.3300
norma,3.3300
passionately,3.3300
phyllis,3.3300
realistically,3.3300
relatable,3.3300
unc,3.3300
ungrateful,3.3300
untreated,3.3300
apa,3.3200
behavioural,3.3200
dar,3.3200
dion,3.3200
fitz,3.3200
hermione,3.3200
intestinal,3.3200
lauderdale,3.3200
ludwig,3.3200
macbeth,3.3200
margot,3.3200
measurable,3.3200
qui,3.3200
receptive,3.3200
roche,3.3200
rudolph,3.3200
selectively,3.3200
simplistic,3.3200
spokane,3.3200
sta,3.3200
supervisory,3.3200
titus,3.3200
treacherous,3.3200
vaughn,3.3200
yeh,3.3200
attributable,3.3100
aubrey,3.3100
beaumont,3.3100
calais,3.3100
cohesive,3.3100
contentious,3.3100
derbyshire,3.3100
explanatory,3.3100
gabe,3.3100
gillian,3.3100
hypocritical,3.3100
illustrious,3.3100
mimi,3.3100
oblivious,3.3100
olga,3.3100
olson,3.3100
prematurely,3.3100
rea,3.3100
rufus,3.3100
scientology,3.3100
tracey,3.3100
unanswered,3.3100
unethical,3.3100
whitehall,3.3100
wilhelm,3.3100
attentive,3.3000
bosch,3.3000
conclusive,3.3000
considerate,3.3000
constance,3.3000
